index,name,imdbUrl,screentime,episodes,portrayedBy
37,Grand Maester Pycelle,http://www.imdb.com/character/ch0232836/,35.15,31,"{'name': 'Julian Glover', 'imdbUrl': 'http://www.imdb.com/name/nm0002103/'}"
38,Loras Tyrell,http://www.imdb.com/character/ch0231428/,33.0,20,"{'name': 'Finn Jones', 'imdbUrl': 'http://www.imdb.com/name/nm3645691/'}"
39,Grey Worm,http://www.imdb.com/character/ch0335038/,32.15,24,"{'name': 'Jacob Anderson', 'imdbUrl': 'http://www.imdb.com/name/nm2760664/'}"
40,Talisa Maegyr,http://www.imdb.com/character/ch0305007/,30.45,12,"{'name': 'Oona Chaplin', 'imdbUrl': 'http://www.imdb.com/name/nm2772105/'}"
41,Robert Baratheon,http://www.imdb.com/character/ch0155776/,30.3,7,"{'name': 'Mark Addy', 'imdbUrl': 'http://www.imdb.com/name/nm0004692/'}"
42,Roose Bolton,http://www.imdb.com/character/ch0305006/,30.15,19,"{'name': 'Michael McElhatton', 'imdbUrl': 'http://www.imdb.com/name/nm0568385/'}"
43,Osha,http://www.imdb.com/character/ch0295802/,29.45,16,"{'name': 'Natalia Tena', 'imdbUrl': 'http://www.imdb.com/name/nm1164730/'}"
44,Eddison Tollett,http://www.imdb.com/character/ch0305008/,29.15,29,"{'name': 'Ben Crompton', 'imdbUrl': 'http://www.imdb.com/name/nm0174005/'}"
45,Hodor,http://www.imdb.com/character/ch0238584/,29.0,23,"{'name': 'Kristian Nairn', 'imdbUrl': 'http://www.imdb.com/name/nm3964231/'}"
46,Gendry,http://www.imdb.com/character/ch0300040/,28.45,17,"{'name': 'Joe Dempsie', 'imdbUrl': 'http://www.imdb.com/name/nm1478079/'}"
47,Oberyn Martell,http://www.imdb.com/character/ch0392307/,28.3,7,"{'name': 'Pedro Pascal', 'imdbUrl': 'http://www.imdb.com/name/nm0050959/'}"
48,Yara Greyjoy,http://www.imdb.com/character/ch0300217/,27.0,12,"{'name': 'Gemma Whelan', 'imdbUrl': 'http://www.imdb.com/name/nm2247629/'}"
49,Meera Reed,http://www.imdb.com/character/ch0316928/,27.0,13,"{'name': 'Ellie Kendrick', 'imdbUrl': 'http://www.imdb.com/name/nm1697771/'}"
50,Jaqen H'ghar,http://www.imdb.com/character/ch0259179/,26.3,18,"{'name': 'Tom Wlaschiha', 'imdbUrl': 'http://www.imdb.com/name/nm0937239/'}"
51,Alliser Thorne,http://www.imdb.com/character/ch0246938/,26.0,19,"{'name': 'Owen Teale', 'imdbUrl': 'http://www.imdb.com/name/nm0853583/'}"
52,Khal Drogo,http://www.imdb.com/character/ch0171388/,25.0,10,"{'name': 'Jason Momoa', 'imdbUrl': 'http://www.imdb.com/name/nm0597388/'}"
53,Renly Baratheon,http://www.imdb.com/character/ch0246253/,24.0,8,"{'name': 'Gethin Anthony', 'imdbUrl': 'http://www.imdb.com/name/nm2167445/'}"
54,Maester Luwin,http://www.imdb.com/character/ch0171393/,23.3,13,"{'name': 'Donald Sumpter', 'imdbUrl': 'http://www.imdb.com/name/nm0838910/'}"
55,Ros,http://www.imdb.com/character/ch0010187/,21.45,14,"{'name': 'Esmé Bianco', 'imdbUrl': 'http://www.imdb.com/name/nm2657974/'}"
56,Grenn,http://www.imdb.com/character/ch0251496/,21.15,22,"{'name': 'Mark Stanley', 'imdbUrl': 'http://www.imdb.com/name/nm4440305/'}"
57,Mance Rayder,http://www.imdb.com/character/ch0335039/,21.0,5,"{'name': 'Ciarán Hinds', 'imdbUrl': 'http://www.imdb.com/name/nm0001354/'}"
58,Jeor Mormont,http://www.imdb.com/character/ch0251492/,21.0,12,"{'name': 'James Cosmo', 'imdbUrl': 'http://www.imdb.com/name/nm0181920/'}"
59,Viserys Targaryen,http://www.imdb.com/character/ch0155775/,20.3,6,"{'name': 'Harry Lloyd', 'imdbUrl': 'http://www.imdb.com/name/nm0516003/'}"
60,Qyburn,http://www.imdb.com/character/ch0316929/,19.15,14,"{'name': 'Anton Lesser', 'imdbUrl': 'http://www.imdb.com/name/nm0504320/'}"
