index,name,imdbUrl,screentime,episodes,portrayedBy
160,Kovarro,http://www.imdb.com/character/ch0304969/,3.15,6,"{'name': 'Steven Cole', 'imdbUrl': 'http://www.imdb.com/name/nm0170799/'}"
161,Maester Cressen,http://www.imdb.com/character/ch0255280/,3.15,unspecified,"{'name': 'Oliver Ford Davies', 'imdbUrl': 'http://www.imdb.com/name/nm0203882/'}"
162,Robett Glover,http://www.imdb.com/character/ch0541747/,3.0,unspecified,"{'name': 'Tim McInnerny', 'imdbUrl': 'http://www.imdb.com/name/nm0570570/'}"
163,Hallyne,http://www.imdb.com/character/ch0259178/,3.0,2,"{'name': 'Roy Dotrice', 'imdbUrl': 'http://www.imdb.com/name/nm0234541/'}"
164,High Priestess,http://www.imdb.com/character/ch0539898/,3.0,2,"{'name': 'Souad Faress', 'imdbUrl': 'http://www.imdb.com/name/nm0267256/'}"
165,Vardis Egen,http://www.imdb.com/character/ch0294458/,3.0,2,"{'name': 'Brendan McCormack', 'imdbUrl': 'http://www.imdb.com/name/nm1788152/'}"
166,Marillion,http://www.imdb.com/character/ch0305001/,3.0,4,"{'name': 'Emun Elliott', 'imdbUrl': 'http://www.imdb.com/name/nm2047170/'}"
167,Mero,http://www.imdb.com/character/ch0123670/,3.0,unspecified,"{'name': 'Mark Killeen', 'imdbUrl': 'http://www.imdb.com/name/nm2075330/'}"
168,Marei,http://www.imdb.com/character/ch0431527/,3.0,6,"{'name': 'Josephine Gillan', 'imdbUrl': 'http://www.imdb.com/name/nm4982706/'}"
169,Izembaro,http://www.imdb.com/character/ch0540561/,2.45,3,"{'name': 'Richard E. Grant', 'imdbUrl': 'http://www.imdb.com/name/nm0001290/'}"
170,Lommy Greenhands,http://www.imdb.com/character/ch0257030/,2.45,4,"{'name': 'Eros Vlahos', 'imdbUrl': 'http://www.imdb.com/name/nm2869309/'}"
171,Old Nan,http://www.imdb.com/character/ch0305018/,2.45,4,"{'name': 'Margaret John', 'imdbUrl': 'http://www.imdb.com/name/nm0424191/'}"
172,Joyeuse Erenford,http://www.imdb.com/character/ch0304494/,2.45,2,"{'name': 'Kelly Long', 'imdbUrl': 'http://www.imdb.com/name/nm4958677/'}"
173,Mord,http://www.imdb.com/character/ch0229099/,2.45,2,"{'name': 'Ciaran Bermingham', 'imdbUrl': 'http://www.imdb.com/name/nm2197118/'}"
174,Waymar Royce,http://www.imdb.com/character/ch0171390/,2.45,unspecified,"{'name': 'Rob Ostlere', 'imdbUrl': 'http://www.imdb.com/name/nm3209935/'}"
175,Kinvara,http://www.imdb.com/character/ch0540065/,2.3,unspecified,"{'name': 'Ania Bukstein', 'imdbUrl': 'http://www.imdb.com/name/nm0119804/'}"
176,Talla Tarly,http://www.imdb.com/character/ch0523897/,2.3,unspecified,"{'name': 'Rebecca Benson', 'imdbUrl': 'http://www.imdb.com/name/nm5039410/'}"
177,Daisy,http://www.imdb.com/character/ch0305015/,2.3,3,"{'name': 'Maisie Dee', 'imdbUrl': 'http://www.imdb.com/name/nm3996678/'}"
178,Gared,http://www.imdb.com/character/ch0171395/,2.3,unspecified,"{'name': 'Dermot Keaney', 'imdbUrl': 'http://www.imdb.com/name/nm0443825/'}"
179,Ilyn Payne,http://www.imdb.com/character/ch0246254/,2.15,4,"{'name': 'Wilko Johnson', 'imdbUrl': 'http://www.imdb.com/name/nm3330122/'}"
180,Roslin Frey,http://www.imdb.com/character/ch0391563/,2.15,unspecified,"{'name': 'Alexandra Dowling', 'imdbUrl': 'http://www.imdb.com/name/nm5093301/'}"
181,Ternesio Terys,http://www.imdb.com/character/ch0473552/,2.0,2,"{'name': 'Gary Oliver', 'imdbUrl': 'http://www.imdb.com/name/nm1146807/'}"
182,Quaithe,http://www.imdb.com/character/ch0305022/,1.45,2,"{'name': 'Laura Pradelska', 'imdbUrl': 'http://www.imdb.com/name/nm3671418/'}"
183,Hugh of the Vale,http://www.imdb.com/character/ch0305026/,1.45,2,"{'name': 'Jefferson Hall', 'imdbUrl': 'http://www.imdb.com/name/nm2131630/'}"
184,Rorge,http://www.imdb.com/character/ch0305019/,1.45,4,"{'name': 'Andy Beckwith', 'imdbUrl': 'http://www.imdb.com/name/nm0065874/'}"
185,Tickler,http://www.imdb.com/character/ch0305033/,1.45,2,"{'name': 'Anthony Morris', 'imdbUrl': 'http://www.imdb.com/name/nm1677757/'}"
186,Lollys Stokeworth,http://www.imdb.com/character/ch0511247/,1.45,unspecified,"{'name': 'Elizabeth Cadwallader', 'imdbUrl': 'http://www.imdb.com/name/nm5502252/'}"
187,Mhaegen,http://www.imdb.com/character/ch0305038/,1.15,2,"{'name': 'Antonia Christophers', 'imdbUrl': 'http://www.imdb.com/name/nm4460936/'}"
188,Biter,http://www.imdb.com/character/ch0305028/,1.15,5,"{'name': 'Gerard Jordan', 'imdbUrl': 'http://www.imdb.com/name/nm0429956/'}"
189,Lhara,http://www.imdb.com/character/ch0476558/,1.15,3,"{'name': 'Sarine Sofair', 'imdbUrl': 'http://www.imdb.com/name/nm3330066/'}"
190,Tobho Mott,http://www.imdb.com/character/ch0305039/,1.15,2,"{'name': 'Andrew Wilde', 'imdbUrl': 'http://www.imdb.com/name/nm0928408/'}"
